day,avg_temp
1,19.0
2,20.0
3,15.0
4,11.0
5,9.0
6,10.0
7,11.0
8,12.0
9,14.0
10,14.0
11,12.0
12,13.0
13,15.0
14,17.0
15,12.0
16,12.0
17,11.0
18,11.0
19,13.0
20,17.0
21,17.0
22,11.0
23,9.0
24,12.0
25,14.0
26,15.0
27,16.0
28,16.0
29,14.0
30,19.0
31,20.0
32,21.0
33,18.0
34,19.0
35,21.0
36,19.0
37,18.0
38,18.0
39,15.0
40,14.0
41,15.0
42,16.0
43,17.0
44,17.0
45,19.0
46,20.0
47,19.0
48,19.0
49,20.0
50,17.0
51,18.0
52,20.0
53,29.0
54,20.0
55,18.0
56,17.0
57,18.0
58,19.0
59,22.0
60,21.0
61,21.0
