day,avg_temp
1,33.083333333333336
2,33.22222222222222
3,33.361111111111114
4,33.52777777777778
5,33.666666666666664
6,33.833333333333336
7,33.97222222222222
8,34.111111111111114
9,34.27777777777778
10,34.416666666666664
11,34.583333333333336
12,34.72222222222222
13,34.888888888888886
14,35.05555555555556
15,35.22222222222222
16,35.361111111111114
17,35.52777777777778
18,35.69444444444444
19,35.833333333333336
20,36.0
21,36.166666666666664
22,36.333333333333336
23,36.47222222222222
24,36.638888888888886
25,36.80555555555556
26,36.97222222222222
27,37.138888888888886
28,37.27777777777778
29,37.416666666666664
30,37.583333333333336
31,37.72222222222222
32,37.861111111111114
33,38.0
34,38.138888888888886
35,38.27777777777778
36,38.416666666666664
37,38.52777777777778
38,38.611111111111114
39,38.722222222222214
40,38.833333333333336
41,38.91666666666667
42,39.02777777777778
43,39.111111111111114
44,39.19444444444444
45,39.25
46,39.30555555555556
47,39.388888888888886
48,39.41666666666666
49,39.47222222222223
50,39.47222222222223
51,39.5
52,39.5
53,39.52777777777778
54,39.52777777777778
55,39.52777777777778
56,39.52777777777778
57,39.47222222222222
58,39.47222222222222
59,39.416666666666664
60,39.416666666666664
61,39.361111111111114
